Empresa,Phone,Email,Logradouro,Bairro,Cidade,Estado
ALTOE MECANICA EM GERAL LTDA - ME,(28)3524-1615,,"RODOVIA GUMERCÍNIO DE MOURA NUNES, KM 5,5, S/N",SANTA ROSA,CACHOEIRO DE ITAPEMIRIM,ES
ALTA ELEVADORES LTDA ME,(27) 3026-7063,alta@altaelevadores.com.br,"Rua Pedro Botti, nº 86",Consolação,Vitória,ES
ALFATECH MANUTENÇÃO & SERVIÇOS INDUSTRIAIS EIRELLI - EPP,(27) 3080-0938,comercial@alfatechindustrial.com.br,"Rua Gustavo Barroso, nº 678",Guaraciaba,Serra,ES
ZOPPE INDÚSTRIA E COMÉRCIO LTDA,(28)3521-4765,,"Rua José Calegário,  46 a 62",Aeroporto,Cachoeiro de Itapemirim,ES
XLOG INDUSTRIA E COMERCIO LTDA,(27) 2122-1919,,"RUA COMENDADOR ALCIDES SIMÃO HELOU, Nº 708",CIVIT II,SERRA,ES
ZOBE ASSISTENCIA TECNICA LTDA,(28) 3511-6084,www.eletromaquinas-es.com.br,"AV JONES DOS SANTOS NEVES, 771/777",SÃO FRANCISCO DE ASSIS,CACHOEIRO DE ITAPEMIRIM,ES
WM SERVIÇOS INDUSTRIAIS LTDA,(27) 3068-0777,,"RUA TANCREDO NEVES, 11, QUADRA 10 LOTE 19",SÃO DIOGO I,SERRA,ES
WISHES TOUR OPERADORA LTDA,(27) 99858-3938,,"RUA ANTONIO ROBERTO FEITOSA, Nº 78",CRISTOVAO COLOMBO,VILA VELHA,ES
WEIR DO BRASIL LTDA,(27)3218-3225,,"ROD. NORTE SUL, 1241",JARDIM LIMOEIRO,SERRA,ES
WILSON APARECIDO DOS SANTOS,(27) 99656-3562,trovao.wilson@gmail.com,"R DOMINGOS MARTINS, 200",SERRAMAR,SERRA,ES
WPS ENGENHARIA LTDA - EPP,(27)3721-8060,,"RUA DOM PEDRO II, Nº 20",ESPLANADA,COLATINA,ES
VOLARE VEÍCULOS LTDA,(27) 3312-4006,alexandre.faroni@volare.com.br,ROD BR 101 NORTE KM 56,LITORÂNEO,SÃO MATEUS,ES
WALCLER FILIPPO CROCE,(27)9837-2759,,"RUA JOAQUIM LUCAS SOBRINHO, Nº 212",SÃO VICENTE,COLATINA,ES
VTR SERVICE LTDA - ME,(27) 3099-4318,,"RUA CASTELO, Nº 1433, QUADRA 20 LOTE 30",JARDIM LIMOEIRO,SERRA,ES
WEG LINHARES EQUIPAMENTOS ELÉTRICOS S/A,(27) 3048-1711,,"ROD. BR 101, KM 161,5, S/N",RIO QUARTEL DE BAIXO,LINHARES,ES
VITORIAPLAST COMERCIO ATACADISTA DE EMBALAGENS LTD,(27) 3343-6278,vitoriaplast@vitoriaplast.com.br,"RUA NOVO BRASIL, Nº 09",RIO MARINHO,VILA VELHA,ES
VINOX INDÚSTRIA E COMÉRCIO DE METAIS LTDA - ME,(27)3369-6833,,"AV. CARLOS LINDEMBERG, Nº 1539",COBILÂNDIA,VILA VELHA,ES
VIX ELEVADORES LTDA-ME,(27) 3014-1384,,"AV. MARUIPE, 424",SANTA CECILIA,VITORIA,ES
,,,,,,
VIMAQ METALÚRGICA IND. COM. PREST.SERV.LTDA,(27)3328-2262,,"AV. BRASIL, 1135",NOVO HORIZONTE,SERRA,ES
VITORIA INDUSTRIAL LTDA - ME,(27) 3347-1512,,"Rua Nelcy Lopes Vieira, nº 392 Quadra 06",Jardim Limoeiro,Serra,ES
VIPLIMP PRESTADORA DE SERVIÇOS LTDA ME,(27) 3035-1887,viplimp@viplimp.com.br,"RUA ARISTIDES MIRANDA, Nº 186",ARIBIRI,VILA VELHA,ES
VILENA CONSTRUTORA LTDA,(27) 9965-1459,vilena@vilenaconstrutora.com.br,"RUA WALTER MACHADO, 236",SOTELANDIA,CARIACICA,ES
VILUX VITÓRIA LUX INDUSTRIAL EIRELI - EPP,(27)3338-1545,,"RUA A, N - LOTE 07 QD 75, S/N",NOVO HORIZONTE,SERRA,ES
VIFERRO FERRAMENTAS E FERRAGENS LTDA ,(27) 3183-2100,,"Av. Leitão da Silva, nº 1452",Santa Lucia,Vitória,ES
VENTOWAG TECNOLOGIA EIRELLI,(28)2102-2525,,"Rua João Bosco Fiório, 55",São Lucas,Cachoeiro de Itapemirim,ES
VILLA SODRÉ CONSULTORIA LTDA - ME,(27) 3337-2198,www.villasodre.com.br,"RUA ABIAIL DO AMARAL CARNEIRO, Nº191, SALA 713, ED. ARÁBICA",ENSEADA DO SUÁ,VITORIA ,ES
VECTOR INDÚSTRIA E MANUTENÇÃO DE EQUIPAMENTOS LTDA,(27)3250-2342,,"ROD ES 10, KM 49,7, LOTE 17,Q.C",PRAIA DOS PADRES,ARACRUZ,ES
VEGA INDUSTRIAL LTDA - ME,(27) 3077-0414,,"RUA LACERDÓPOLIS, Nº 165",COBILANDIA,VILA VELHA,ES
,,,,,,
USM INDUSTRIAL E OFFSHORE USM INDUSTRIAL EIRELI,(27) 3281-4313,usm@usm.ind.br,"Praça Flamboyant, nº80",Coqueiral,Aracruz,ES
VAC IMPLEMENTAÇÃO DE SISTEMAS LTDA - EPP,(28) 3511-8428,vac.sistemas@uol.com.br,"Rua Jorge Luiz da Silva, 36",Jardim Itapemirim,Cachoeiro de Itapemirim,ES
V & V METALMECÂNICA EIRELI - EPP,(27) 3398-1308,comercial@vevmetalmecanica.com.br,RUA 1B. S/N. SETOR II. LOTE III SALA 01,CIVIT II,SERRA,ES
USM FABRICAÇÕES INDUSTRIAIS LTDA-ME,(27) 3318-7738,usm@usm.ind.br,"Rua 04, nº18",Civit I,Serra,ES
USIMAC MÁQUINAS E EQUIPAMENTOS LTDA EPP,(28)3511-8047,,"ROD. RICARDO BARBIERI, 101 KM 1,5",AEROPORTO,CACHOEIRO DE ITAPEMIRIM,ES
USINOX SERVICE LTDA - ME,(27)3281-9422,,"RUA CLÁUDIO COUTINHO, Nº 18",JARDIM LIMOEIRO,SERRA,ES
USICORTE USINAGEM DE METAIS LTDA,(27) 3228-2575,,"RUA B, Nº 14",JARDIM LIMOEIRO,SERRA,ES
USIMAN SERVIÇOS DE MANUTENÇÃO INDUSTRIA E COMÉRCIO LTDA,(27)3038-2600,,"RUA CASTELO, Nº 1433",JARDIM LIMOEIRO,SERRA,ES
USIPLAN ENGENHARIA LTDA,(27)3228-1068,,"R FRANCISCO SOUSA DOS SANTOS, 313",JARDIM LIMOEIRO ,SERRA,ES
USIPRESTI USINAGEM E PRESTACAO DE SERVICO INDUSTRIAL LTDA - EPP,(27)3216-0174,,"Rua Jerusalém, 18",Oriente,Cariacica,ES
USIFRESA USINAGEM E FRESAGEM LTDA - EPP,(27)3281-4116,,"RUA CABREUVA, Nº 01",VILA NOVA DE COLARES,SERRA,ES
UNIÃO ELETROMECÂNICA LTDA - ME,(27)3711-5592,,"RODOVIA GETHER LOPES DE FARIAS, Nº 1700",CARLOS G. NAUMANN,COLATINA,ES
UNITEC INDÚSTRIA E COMÉRCIO EIRELI EPP,(28) 3521-3321,unitecltda@hotmail.com,"RUA NAIR DE SOUZA MENEZES, Nº 33",CORAMARA,CACHOEIRO DE ITAPEMIRIM,ES
UNIÃO FABRICAÇÃO E MONTAGEM LTDA,(27) 3089-1299,,"ROD. BR 101 - KM, 128 - SITIO BOA VISTA",CORREGO DA ONÇA,SOORETAMA,ES
UNICORTE SERVIÇOS LTDA - ME,(27)3222-3602,,"R: PEDRO CARLOS DE SOUZA, 250",ILHA DE SANTA MARIA,VITÓRIA,ES
,,,,,,
TSA TECNOLOGIA DE SISTEMAS DE AUTOMAÇÃO S/A,(31) 3055-5008,francisco.pereira@tsaengenharia.com.br,"RUA DOUTOR MOSCOSO, Nº81",CENTRO,SÃO MATEUS,ES
TROPICAL COMERCIO E SERVIÇOS EIRELI ME,(27) 3228-3396,icsservicos@terra.com.br,"AV GEL MANOEL NUNES, Nº3688",PLANALTO DE CARAPINA,SERRA,ES
TRILHAR METALÚRGICA LTDA,(27)3723 5166,,"ROD BR 259, S/N -KM 48 J. NEIVA - B.GUANDU GALPAO2",BARBADOS,COLATINA,ES
TRIGLAV SOLUÇÕES INDUSTRIAIS LTDA.,(27) 99297-4801,,"ROD. GOVERNADOR MARIO COVAS, PAVIMENTO 01 KM 279",CARAPINA GRANDE,SERRA,ES
TRACOMAL TERRAPLENAGEM E CONSTRUÇÕES MACHADO LTDA,(27)3348-6900,,"AVENIDA BRIGADEIRO EDUARDO GOMES, Nº 208",Jardim Limoeiro,SERRA,ES
TK ELEVADORES BRASIL LTDA,(27)3041-5800,,"AV. LEITÃO DA SILVA, 1740",SANTA LÚCIA,VITORIA,ES
TINÔCO ANTICORROSÃO LTDA,(21) 3553-1953,mtinoco@tinocoanticorrosao.com.br,"RUA DA ASSEMBLÉIA, Nº85, SALA 1.903",CENTRO ,RIO DE JANEIRO,RJ
THERMOTITE DO BRASIL LTDA,(27) 3441-9713,,"ROD. GOVERNADOR MARIO COVAS, S/N - KM 276",JARDIM CARAPINA,SERRA,ES
TOP INOX INDUSTRIA E COMERCIO LTDA,(27) 3386-8146,adm@topinox.com.br,"AVENIDA ALICE COUTINHO SANTOS, 2283",MARACANA,CARIACICA,ES
TGT MECANICA E COMERCIO LTDA - ME,(27) 3090-3153,adm@tgtmecanica.com.br,"Rua Maria da Glória Torezani, 72",Boa Sorte,Cariacica,ES
TORNEARIA EXATA LTDA ME,(28) 3517-8814,,"RUA FRANCISCO DE ASSIS MANHÔNI, Nº 64",CENTRAL PARQUE,CACHOEIRO DE ITAPEMIRIM,ES
TEXCAL COMÉRCIO E SERVIÇOS LTDA,(27)3218-3154,,"Rua Castelo, nº 1107",Jardim Limoeiro,Serra,ES
TEREME TÉCNICA DE RECUPERAÇÃO DE MÁQUINA ELET. LTDA,(27)3228-2320,,"RUA DANCADOR, Nº 100",NOVO HORIZONTE,SERRA,ES
TETRA PLACAS INDUSTRIA E SERVICOS LTDA - ME,(27)3763-5905,,"RUA MANOEL ANDRADE, Nº 278",CENTRO,SÃO MATEUS,ES
TECNOBOR TECNOLOGIA LTDA - ME,(27) 3338-2700,,"RUA SANTA MARIA, Nº 02",MARINGÁ,SERRA,ES
TECNOBOR INDUSTRIAL LTDA - ME ,(27) 3218-4260,,"RUA SANTA MARIA, Nº 02",MARINGÁ,SERRA,ES
"TECNOVIX FABRICAÇÃO, SERVIÇOS E USINAGEM DE CAMPO LTDA-ME",(27)3386-7127,,"RUA ARACAJU, S/N",CAMPINA GRANDE,CARIACICA,ES
TECNICRON METALMECANICA LTDA EPP,(27) 3338-3000,,"Avenida Desembargador Mário da Silva Nunes, nº 504",Jardim Limoeiro,Serra,ES
TECNOAR INSTALAÇÃO E MANUTENÇÃO LTDA ME,(27) 99801-4878,tecnoar.vix@gmail.com,"RUA MILTOM RAMALHO SIMÕES, Nº 130",JARDIM CAMBURI,VITÓRIA,ES
THERMICA REFRIGERAÇÃO E AR CONDICIONADO LTDA,(27)3226-0366,,"RUA OTAVIO BARBOSA DA SILVA, Nº 10",ITAQUARI,CARIACICA,ES
TECMETAL SERVIÇO DE USINAGEM E CALDERARIA LTDA ME,(28)3511-2344,,"Avenida Mauro Miranda Madureira, nº 1178 a 1202 Galpão C",Central Parque,Cachoeiro de Itapemirim,ES
TECNO-ITA TECNOLOGIA EM ROCHAS ORNAMENTAIS LTDA-ME,(28)3517-8700,,"R: ALFREDO SANTIAGO LOUZADA,  4",MARBRASA,CACHOEIRO DE ITAPEMIRIM,ES
TCN HIDRAULICA LTDA ME,(27) 3338-3001,administrativo@tcnhidraulica.com.br,"AV. TANCREDO NEVES, 171",SÃO DIOGO,SERRA,ES
TEC-LIGHT INDÚSTRIA E COMÉRCIO DE REATORES LTDA-ME,(27)3244-7473,,"RUA DANIELA PEREZ, Nº 352",BARRAMARES,VILA VELHA,ES
TBS BRASIL INDUSTRIA E COMERCIO LTDA - ME,(27) 3077-5777,sickert@sickert.com.br,"Rua Horizonte, 75",Residencial Coqueiral,Vila Velha,ES
SUN COKE EAST SERVIÇOS DE COQUEIFICAÇÃO LTDA,(27)2125-5000,,"AV. BRIGADEIRO EDUARDO GOMES, Nº 930",JARDIM LIMOEIRO,SERRA,ES
TADEU ERICO MOREIRA NEVES ME,(27) 3065-3906,tadeuneves@criaengenharia.com,"RUA LIMA BARRETO, Nº11, SALA 03",P.R. LARANJEIRAS,SERRA,ES
SULZER PUMPS WASTEWATER BRASIL LTDA,(27)2104-2466,,"RODOVIA BR 101 NORTE, KM 263, S/N",LARANJEIRAS VELHA,SERRA,ES
STILLUS INDÚSTRIA E COMÉRCIO LTDA ME,(28)3524-1074,,"ROD. GUMERCINDO MOURA NUNES - KM 12, S/N",SOTURNO,CACHOEIRO DE ITAPEMIRIM,ES
SPELTA COMPRESSORES LTDA - EPP,(27)3722-2226,,"AV. SILVIO ÁVIDOS, Nº 1059",SAO SILVANO,COLATINA,ES
SS BRASIL SOLUÇÕES INTELIGENTES ENG. COM. E SERV. LTDA,(27)3211-2888,,"RUA JOSE CELSO CLAUDIO, Nº 926",JARDIM CAMBURI,VITÓRIA,ES
STAR VIDRAÇARIA E ESQUADRIA LTDA ME,(27) 3241-2431,starvidracaria@ig.com.br,AVENIDA AUGUSTO RUSCHI,BALNEÁRIO DE CARAPEBUS,SERRA,ES
STEEL GOLD SERVIÇOS INDUSTRIAIS LTDA,(27) 3088-2798,,"RUA SÃO PEDRO, 472 - QDRA 006",JARDIM LIMOEIRO,SERRA,ES
SRF USINAGEM LTDA ME,(27) 3226-6242,srfusinagem@gmail.com,"AVENIDA CENTRAL , Nº 97",CAMPO VERDE,CARIACICA,ES
STS - MANUTENCAO LTDA - EPP,(27)3250-2138,,"RUA ANTÔNIO RIZZO, S/N",PRAIA DO SAUÊ,ARACRUZ,ES
SOLUSERV SERVIÇOS INDUSTRIAIS LTDA ME,(27)3256-4447,,"Rua Padre Luiz Parenzi, Nº 540 - Sala 104",Centro,Aracruz,ES
SOBRAL LTDA,(27)3250-2550,,"RUA UBERLÂNDIA, Nº 753",MAR AZUL,ARACRUZ,ES
SPB PLACAS INDUSTRIA E COMERCIO EIRELI,(27) 99800-8160,spbplacas@gmail.com,"RUA ANTONIO ALEIXO, Nº 288",CONSOLAÇÃO,VITÓRIA,
SOLUTION CONSULTORIA LTDA,(27) 3315-5000,,"AV JERÔNIMO MONTEIRO, Nº 1385",CENTRO,VILA VELHA,ES
SOLUMECH SOLUÇÕES MECANICA LTDA ME,(27) 3328-0768,,Rua Holdercim ,Civit II,Serra,ES
SO MIND SOARES MECANICA INDUSTRIAL LTDA ME,(28) 3511-6069,somindmec@hotmail.com,"RUA PROJETADA, S/N",DUAS BARRAS,CACHOEIRO DE ITAPEMIRIM   								(Cachoeiro de Itapemirim),ES
SKALA ARTEFATOS DE ALUMINIO LTDA - ME,(27)3343-1773,,"R: SÃO PEDRO, 33",SANTA CECILIA,CARIACICA,ES
SM REPRESENTAÇÕES E COMÉRCIO DE MÁQUINAS LTDA,(27) 3065-3143,,"RUA SÃO JORGE, Nº 79",BOA VISTA II,SERRA,ES
SINERGIA ELEVADORES LTDA,(27)3225-7392,,"RUA PEDRO CARLOS DE SOUZA, Nº 150",ILHA DE SANTA MARIA,VITÓRIA,ES
SINDERSERVICE SOLUÇÕES ELETROMECANICAS LTDA,(27) 3064-2596,sv-braga@uol.com.br,"RUA JOSE MOREIRA MARTINS RATO, Nº556/203",BAIRRO DE FATIMA,SERRA,ES
SIM ELEVADORES LTDA,(27) 3327-0302,,"Rua Olympio Rodrigues Passos, Nº 61",Jabour,Vitória,ES
SINDUS ANDRITZ LTDA,(51) 2121-4400,,"Rua José Alves da Costa, nº 56, Sala 411 Ed. Ravenna Center",Centro,Aracruz,ES
SIGNUS RJ INSTALACOES LTDA,(27) 3255-2244,,ROD. BR 262 - KM 13,RIBEIRA,VIANA,ES
SIDERMETAL METALÚRGICA LTDA,(27)3328-4586,,"RUA REILLY DUARTE, Nº 747 D",CIVIT II,SERRA,ES
SIÃO PETROLEO S/A,(27)3328-3827,,"RUA 7B. 111, QUADRA 14F - LOTE 08",CIVIT II,SERRA,ES
SERVI INDÚSTRIA DE SERINGAS E VIDROS LTDA,(28)3521-2455,,"RODOVIA ENG. FABIANO VIVACQUA, Nº 307",MARBRASA,CACHOEIRO DE ITAPEMIRIM,ES
SERVET INDUSTRIA COMERCIO E SERVIÇOS LTDA,(28) 3521-2455,servi@serviseringas.com.br,RUA SEBASTIÃO DE PAIVA VIDAURRE. N 10,CORAMARA,CACHOEIRO DE ITAPEMIRIM,
SHOPPING DAS PLACAS EIRELI,(27) 3024-0007,shoppingdasplacas@hotmail.com,"RUA TITO MACHADO, Nº137",HORTO,VITORIA ,ES
SERRALHERIA SERRANA LTDA - ME,(28) 3517-6294,metalurgicaserrana@gmai.com,"AVENIDA THEODORICO FERRAÇO, Nº20",PARQUE LARANJEIRAS,CACHOEIRO DE ITAPEMIRIM,ES
SERMAVIL LOCACAO E MONTAGENS LTDA,(27)3338-3488,,"R: SÃO JORGE, 70",BOA VISTA,SERRA,ES
SETORNO INDÚSTRIA MECÂNICA LTDA ME,(27)3222-1203,,"RUA GUIDO PRATTI, Nº 99",ILHA DE SANTA MARIA,VITORIA,ES
SEMEPLAST INDÚSTRIA E SERVIÇOS EIRELI ME,(27) 3201-3960,,"AV. TERCEIRA AVENIDA, Nº 396 LOTE 027 QUADRA 10 LOTEAMENTO 123",São Diogo I,Serra,ES
SIDERAL INDÚSTRIA E COMÉRCIO LTDA - EPP,(27)3328-3731,,"Rua Reilly Duarte, 747",Civit II,Serra,ES
SEL SERVIÇOS ELETRICOS LTDA - ME,(27)3216-6555,sel@selservicoseletricos.com.br,"RUA CLARÍCIO ALVES RIBEIRO, Nº 176",ITANGUA,CARIACICA,ES
SEITEC SERVIÇOS INDUSTRIAIS LTDA - EPP,(27) 3256-2577,,"Rua Pedro Cavalhieri Filho, nº 570 CXP. 431",Centro Empresarial,Aracruz,ES
SAMIL SARANDY FERRAMENTAS LTDA - ME,(28)3526-7161,,"AV. FRANCISCO MARDEGAM, Nº 89",AEROPORTO,CACHOEIRO DE ITAPEMIRIM,ES
SAMARCO MINERAÇÃO S.A.,(28) 3361-9000,,"RODOVIA ES- 060, KM 14.4, S/N",PONTA UBU,ANCHIETA,ES
SEISA METALMECÂNICA LTDA - EPP,(27)3336-4263,,ROD. BR 101 - KM 288 - CONTORNO DE VITÓRIA,TABAJARA,CARIACICA,ES
SCHIRLEY PEREIRA BALDAN - ME,(27)3386-6749,,"RUA MINISTRO EURICO SALLES DE AGUIAR, Nº21 LOJA1",CAMPO GRANDE,CARIACICA,ES
SAINT-GOBAIN DO BRASIL PROD. IND.CONSTRUÇÃO LTDA,(19) 2127-8510,,"AVENIDA BRIGADEIRO EDUARDO GOMES, 930",POLO INDUSTRIAL DE TUBARÃO,SERRA,ES
S L WEBER SERVIÇOS - EPP,(28) 3036-1645,,"AV FIORAVANTE CYPRIANO, N 648, GALPÃO",AEROPORTO,CACHOEIRO DE ITAPEMIRIM,ES
SA SILVA METALURGICA ME,(27) 3338-2700,,"Rua Santa Maria, Nº 2",Maringá,Serra,ES
ROSH INDUSTRIA E COM. PEÇAS E DE MAQUINAS LTDA,(27) 2125-4849,,"RUA NITEROI, 202-B",ALTEROSAS,SERRA,
RONEY SANTOS RIBEIRO ME,,contatoinoxplacas@gmail.com,"RUA CRISTOVÃO COLOMBO, 316",CRISTOVÃO COLOMBO,VILA VELHA ,ES
"RTA SERVIÇOS DE MANUTENÇÃO, FABRICAÇÃO E MONTAGEM INDUSTRIAL E OFF SHORE LTDA",(27) 3337-2521,adm01@rtaindustrial.com.br,"RUA JOSÉ CELSO CLAUDIO, 833 - SALA 206",JARDIM CAMBURI,VITORIA,ES
RJG INSTRUMENTACAO E ELETRICA INDUSTRIAL LTDA EPP,(27)3296-9351,,"R: REINALDO WINKELMANN, 260",BARRA DO RIACHO,ARACRUZ,ES
ROMETAL SERRALHERIA LTDA. ME,(27)3296-0037,,"ROD. ES 124 DO KM 41 500 AO 15, Nº 995",PAU PRETO GUAXINDIBA,ARACRUZ,ES
RODOFLEX INDÚSTRIA COMÉRCIO E SERVIÇOS LTDA,(27)3326-3006,,RUA PARNAÍBA - S/01 - S/Nº,SANTA RITA,VILA VELHA,ES
RODRIGUES AMARAL IND COM. ART. DE ALUMINIO LTDA ME,(27) 3326-9117,,"Rua P, nº 26",Bela Vista,Cariacica,
RIP SERVIÇOS INDUSTRIAIS LTDA,,,"RUA BEIJA FLOR, 30",NOVO HORIZONTE,SERRA,ES
RIGUETTE & SILVA LTDA - ME,(27)3256-2973,,"RUA JOSÉ DOS SANTOS LOPES, Nº 269",DE CARLI,ARACRUZ,ES
RID METALMECÂNICA LTDA,(27)3183-7840,,"Rua 6 D, S/N",CIVIT II,Serra,ES
RICARDO MARTINS COLATTI,(27)9840-5029,,RUA DOUTOR DITO FONTES Nº157,N.S. APARECIDA,COLATINA,ES
RESISTENCIA SERVIÇOS METALURGICOS LTDA-ME,(27)3215-3491,,"RUA SÃO SEBASTIÃO, Nº366",RESISTÊNCIA,VITÓRIA,ES
REPLAK INDUSTRIA E COMERCIO DE PLACAS LTDA - ME,(27) 3251-4900,,"Rua Viriato Corrêa, 116",Parque Residencial Laranjeiras,Serra,ES
RM S SERVIÇOS ELETRICOS EIRELI,(27) 3328-8656,,"RUA RIO DE JANEIRO, 99",JARDIM LIMOEIRO,SERRA,
RENOAR REFRIGERAÇÃO E AR CONDICIONADO LTDA ME,2730860554,renato@renoarclimatizacao.com.br,"rua: dançador , n°: 232, quadra: 63, Novo Horizonte",Novo Horizonte,serra,ES
REFRIGEL COMERCIO E SERVICOS EIRELI,(27) 3228-2205,,"AV. DIDO FONTES, Nº 100",JARDIM LIMOEIRO,SERRA,ES
REFLEXO ALUMINIOS E VIDROS LTDA EPP,(27) 3721-4001,reflexoaluminios@gmail.com,"RODOVIA CAFE, 328",CARLOS G. NAUMANN,COLATINA,ES
R.C. FROEDE SERVIÇOS ME,(28) 99901-4004,,"AV. FIORAVANTE CYPRIANO QUADRA B, Nº 648",AEROPORTO,CACHOEIRO DE ITAPEMIRIM,ES
QUICK CONTRUÇÕES E MONTAGENS LTDA,(27)3325-2190,,"RUA MOACIR AVIDOS, Nº 88/701",PRAIA DO CANTO,VITÓRIA,ES
R.C CARVALHO INDUSTRIA E MONTAGEM LTDA - ME,(28) 3538-1702,,"ROD. ES 489. RICARDO BARBIERI, Nº S/N",ALTO SÃO JOSÉ,Atílio Vivácqua,ES
REFRAMAX ENGENHARIA LTDA,(27) 3067-9355,,"AV. DESEMBARGADOR MÁRIO DA SILVA NUNES, 1241",JARDIM LIMOEIRO,SERRA,ES
R. C. DE OLIVEIRA ME,(28) 3518-5108,rcoprestadora@hotmail.com,"RUA JOSÉ DIAS LOBATO, Nº 181",OTTON MARINS,CACHOEIRO DE ITAPEMIRIM,ES
R. FIENI ENGENHARIA EPP,(27) 3207-2517,enge@enge-es.com.br,"Avenida Marechal Campos, nº 626",Consolação,Vitória,ES
RAIO SOLDAS INSPEÇÕES S/S - ME,(27) 3322-6686,,"AV. PRINCESA ISABEL, Nº 629",Centro,VITÓRIA,ES
QUALITEC ASSISTÊNCIA TÉCNICA EM ELEVADORES LTDA ME,(27) 3013-7686,comercial@qualitecelevadores.com.br,"Avenida Maruípe, nº 1620 Sala 103",Bonfim,Vitória,ES
QUALIMEC QUALIDADE EM MECÂNICA LTDA - ME,(27)3763-4624,,"RODOVIA BR 101, S/N, KM 67",VILA NOVA,SÃO MATEUS,ES
QUALITYBOR SERVICOS E MANUTENCAO LTDA. - ME ,(28)3517-6764,,"ROD GUMERCINO MOURA NUNES, nº 103 a 107",VILLAGE DA LUZ ,CACHOEIRO DE ITAPEMIRIM ,ES
QUALITEC INDUSTRIAL LTDA,(27)3282-4049,,"Avenida São Paulo, nº 11",Serra Dourada III,Serra,ES
PRYSMIAN CABOS E SISTEMAS DO BRASIL S/A,(27) 3320-2275,,"RUA VILA ISABEL, S/N ",SÃO TORQUATO,VILA VELHA,ES
PROMILAQ MECÂNICA INDUSTRIAL LTDA - EPP,(28)3521-3031,,"RUA JOÃO BATISTA CALEGARIO, Nº 95",AEROPORTO,CACHOEIRO DE ITAPEMIRIM,ES
PROATIVA SERVIÇOS INDUSTRIAIS LTDA - EPP,(27)3256-8717,,"ROD. ES 257, KM 01 Nº 950",MOROBÁ,ARACRUZ,ES
PRO ENGENHARIA LTDA,(27) 3371-4905,,"RUA NAIR DURÃO GUIMARÃES, Nº 734",TRÊS BARRAS,LINHARES,ES
PRINER SERVIÇOS INDUSTRIAIS S.A.,(71) 3443-2700,,"AVENIDA CONCENTRICA, S/N",CAMAÇARI DE DENTRO,GUARAPARI,ES
PPL MANUTENÇÃO E SERVIÇOS LTDA,(71) 3418-1989,pplba@pplmanutencao.com.br,AVENIDA JOSE AGOSTINHO DE PAIVA. 97 POLO DE SERVIÇO,IMBASSAV,DIAS DÁVILA,BA
PRIME OFFICE ASSESSORIA CONTABIL E ADMINISTRAÇÃO,(28) 99968-5630,,"RUA AMELIA JOSE FREITAS, 26",GILBERTO MACHADO,CACHOEIRO DE ITAPEMIRIM,ES
